parcel,year,error
01110407015,2003,'Billing'
01120512002,2000,'Assessments'
01130128001,1998,'Assessments'
01120304002,1998,'Assessments'
01130200066,1997,'Assessments'
01130101005,1994,'Assessments'
01120416007,1996,'Assessments'
01110408002,2011,'Billing'
01110405002,2003,'Billing'
01130106025,1994,'Assessments'
01110407003,2003,'Billing'
01110405004,2003,'Billing'
01130128011,1998,'Assessments'
01130208014,2003,'Assessments'
01130115008,1995,'Assessments'
01110405003,2003,'Billing'
01110407014,2003,'Billing'
01130213023,2003,'Billing'
01110405005,2003,'Billing'
01110407004,2003,'Billing'
01130202037,2003,'Billing'
01130118006,2003,'Billing'
01120300003,2003,'Billing'
01120300018,2003,'Billing'
01130118005,2003,'Billing'
01120300004,2003,'Billing'
01130127021,2009,'Assessments'
01130213022,2003,'Billing'
01130118004,2003,'Billing'
01130213021,2003,'Billing'
01120500003,2007,'Billing'
01120300012,2003,'Billing'
01120300007,2003,'Billing'
01120300013,2003,'Billing'
01130128035,2007,'Assessments'
01120300015,2003,'Billing'
01130213038,2003,'Assessments'
01120300017,2003,'Billing'
01130131034,2003,'Billing'
01130208012,2003,'Billing'
01110514004,2014,'Billing'
01110514002,2013,'Billing'
01130204062,2009,'Assessments'
01120500007,2007,'Billing'
01130208013,2003,'Billing'
01120503002,2007,'Billing'
01130204036,2003,'Billing'
01120500002,2007,'Billing'
01130204023,2003,'Assessments'
01110408004,2015,'Billing'
01130213020,2003,'Billing'
01130131011,2003,'Billing'
01120203003,2003,'Billing'
01110408005,2014,'Billing'
01110408003,2011,'Billing'
01130131010,2003,'Billing'
01130204038,2003,'Billing'
01120203002,2003,'Billing'
01130215029,1999,'Assessments'
01110410002,2013,'Billing'
01120303010,2022,'Billing'
01120304001,2013,'Billing'
01130220006,1999,'Assessments'
01130218004,1995,'Assessments'
01130218003,1994,'Assessments'
01130316019,2003,'Billing'
01130316018,2003,'Billing'
01130327055,2018,'Assessments'
01130329051,2008,'Billing'
01130412033,2003,'Billing'
01130412032,2003,'Billing'
01130414005,2003,'Billing'
01130411053,2000,'Assessments'
01130409013,2015,'Billing'
01130414006,2003,'Billing'
01130418022,2019,'Assessments'
01130405023,2015,'Billing'
01130409011,2015,'Billing'
01130409010,2015,'Billing'
01130409001,2015,'Billing'
01140210036,1997,'Assessments'
01140203002,1994,'Assessments'
01130408011,2015,'Billing'
